测试套/软件包名,测试用例名,状态,日志文件,原因,负责人
FS_iSula,oe_test_isula_cp,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/FS_iSula/oe_test_isula_cp/2023-04-29-03:18:48.log,x86 fail,
sbd,oe_test_service_sbd_remote,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/sbd/oe_test_service_sbd_remote/2023-04-27-02:22:57.log,x86 fail,
sbd,oe_test_service_sbd,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/sbd/oe_test_service_sbd/2023-04-27-02:20:56.log,x86 fail,
pacemaker,oe_test_service_pacemaker,fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/pacemaker/oe_test_service_pacemaker/2023-04-26-15:09:53.log,,
podman,oe_test_podman_10,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_10/2023-04-26-20:57:49.log,x86 fail,
podman,oe_test_podman_DK_24,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_24/2023-04-26-22:15:23.log,x86 fail,
podman,oe_test_podman_DK_12,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_12/2023-04-26-21:59:23.log,x86 fail,
podman,oe_test_podman_05,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_05/2023-04-26-20:01:56.log,x86 fail,
podman,oe_test_podman_13,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_13/2023-04-26-21:00:56.log,x86 fail,
podman,oe_test_podman_11,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_11/2023-04-26-20:58:54.log,x86 fail,
podman,oe_test_podman_DK_20,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_20/2023-04-26-22:10:12.log,x86 fail,
podman,oe_test_podman_DK_07,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_07/2023-04-26-21:23:36.log,x86 fail,
podman,oe_test_podman_DK_03,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_03/2023-04-26-21:19:35.log,x86 fail,
podman,oe_test_podman_17,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_17/2023-04-26-21:05:46.log,x86 fail,
podman,oe_test_podman_DK_05,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_05/2023-04-26-21:21:32.log,x86 fail,
podman,oe_test_podman_04,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_04/2023-04-26-19:55:15.log,x86 fail,
podman,oe_test_podman_DK_18,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_18/2023-04-26-22:07:48.log,x86 fail,
podman,oe_test_podman_DK_02,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_02/2023-04-26-21:18:23.log,x86 fail,
podman,oe_test_podman_DK_27,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_DK_27/2023-04-26-22:18:54.log,x86 fail,
podman,oe_test_podman_09,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_09/2023-04-26-20:27:38.log,x86 fail,
podman,oe_test_socket_podman,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_socket_podman/2023-04-26-19:36:03.log,x86 fail,
podman,oe_test_podman_03,x86 fail,https://github.com/KotorinMinami/res_list/blob/master/mugen-riscv/logs/podman/oe_test_podman_03/2023-04-26-19:48:49.log,x86 fail,
